subscriber_id,circle,circle_code,zone,join_date,tenure_months,plan_type,plan_price_inr,plan_validity_days,arpu_last_month_inr,arpu_3m_avg_inr,arpu_6m_avg_inr,recharge_count_6m,avg_recharge_gap_days,days_since_last_recharge,payment_failures_6m,autopay_enabled,data_gb_last_month,data_gb_3m_avg,voice_minutes_last_month,sms_count_last_month,device_brand,is_5g_device,is_5g_active,avg_sinr_db,drop_call_rate_pct,site_congestion_score,complaints_6m,unresolved_complaints,avg_resolution_days,home_product,num_services,family_plan_flag,app_logins_30d,outgoing_to_competitor_pct,roaming_user_flag,offer_exposed_90d,offer_redeemed_90d,mnp_enquiry_flag,churn_flag_30d,churn_flag_90d,churn_reason,churn_date
JIO10033515,West Bengal,WB,East,2021-08-30,60,Prepaid,999,28,191.92,229.06,195.9,7,28.3,6,0,False,34.93,27.01,130,9,Xiaomi,False,False,13.6,0.48,53.3,0,0,0.0,None,1,False,4,18.8,False,False,False,False,False,False,,
JIO10052756,Uttar Pradesh East,UPE,North,2025-06-30,14,Prepaid,1559,28,187.75,201.28,184.18,7,25.0,18,0,False,42.14,51.29,511,20,Tecno,True,True,12.8,2.16,56.2,0,0,0.0,None,1,False,7,52.7,False,True,False,False,False,False,,
JIO10020543,Madhya Pradesh & Chhattisgarh,MP,North,2026-03-31,5,Prepaid,449,28,164.79,152.94,173.38,7,16.4,28,0,True,9.92,9.41,147,12,vivo,False,False,18.0,0.48,19.1,0,0,0.0,None,2,False,8,27.1,False,False,False,False,False,False,,
JIO10014248,Maharashtra & Goa,MH,West,2026-01-29,7,Prepaid,579,365,124.96,138.37,113.95,1,349.3,74,1,False,21.39,24.52,228,7,Xiaomi,True,True,15.4,0.66,60.6,0,0,0.0,None,2,False,1,43.4,False,True,True,True,True,True,Dormant / non-recharge,2026-11-01
JIO10004121,Uttar Pradesh East,UPE,North,2022-12-30,44,Prepaid,209,28,121.29,108.39,114.55,4,32.4,29,0,True,31.57,28.67,408,13,Samsung,False,False,8.5,0.64,11.2,1,0,5.8,None,2,True,6,25.7,False,True,True,False,False,False,,
JIO10019341,Uttar Pradesh West,UPW,North,2025-12-30,8,Postpaid,799,30,299.4,321.75,279.44,6,28.3,23,1,False,87.65,116.39,368,9,POCO,False,False,15.0,0.12,73.4,0,0,0.0,None,2,False,4,32.1,False,False,False,False,False,False,,
JIO10004450,Mumbai,MU,West,2023-01-30,43,Prepaid,3599,28,248.13,283.18,284.78,6,33.3,3,0,False,12.56,14.49,92,20,realme,False,False,6.0,0.52,36.4,1,0,1.9,None,1,False,7,13.2,False,True,False,False,False,False,,
JIO10042324,Karnataka,KA,South,2025-04-30,16,Prepaid,155,56,112.77,101.9,115.4,2,83.7,124,1,False,23.75,24.62,346,11,OnePlus,True,True,22.7,0.7,47.6,2,2,3.8,None,1,False,2,12.7,False,False,False,False,True,True,Unresolved complaint,2026-10-28
JIO10058715,Rajasthan,RJ,North,2024-08-30,24,Prepaid,189,84,98.42,101.31,76.98,2,111.8,37,0,False,23.32,24.71,95,6,POCO,False,False,10.1,0.17,42.8,2,0,9.5,None,1,False,0,19.5,False,True,False,False,False,False,,
JIO10000851,Madhya Pradesh & Chhattisgarh,MP,North,2024-03-31,29,Prepaid,155,365,133.11,121.13,156.78,0,400.0,210,4,False,33.5,37.93,141,14,realme,True,True,17.8,0.58,64.2,0,0,0.0,None,2,False,1,42.3,False,False,False,False,False,True,Competitor offer / price,2026-09-18
JIO10029144,Bihar & Jharkhand,BH,East,2025-05-31,15,Postpaid,799,30,125.07,137.18,140.59,6,33.3,16,0,False,15.08,13.45,267,15,OnePlus,False,False,7.9,0.07,32.1,2,1,8.7,None,1,False,1,13.2,False,False,False,False,False,True,Relocation,2026-09-14
JIO10056801,Bihar & Jharkhand,BH,East,2020-08-30,72,Prepaid,399,56,90.41,98.3,81.7,3,63.3,178,0,False,43.83,44.97,679,14,JioBharat / JioPhone,False,False,24.0,1.04,22.9,1,0,4.9,None,2,False,0,19.7,False,False,False,False,False,False,,
JIO10024106,Bihar & Jharkhand,BH,East,2025-04-30,16,Prepaid,299,56,206.26,232.1,252.42,4,54.4,27,2,True,66.65,63.23,187,12,Samsung,True,True,19.1,0.51,68.2,0,0,0.0,JioAirFiber,2,False,9,43.3,False,False,False,False,False,False,,
JIO10037903,Delhi NCR,DL,North,2016-09-29,119,Prepaid,299,28,191.95,180.51,199.8,7,40.2,16,0,True,15.41,16.14,207,5,realme,True,False,17.9,0.46,9.8,0,0,0.0,None,1,False,6,35.3,False,False,False,False,False,False,,
JIO10037851,Kolkata,KO,East,2025-11-30,9,Prepaid,399,28,168.88,170.93,195.95,4,21.6,11,1,False,47.97,38.73,116,13,realme,True,True,19.6,1.53,19.8,1,0,5.2,None,1,False,1,20.4,False,False,False,False,False,False,,
JIO10019493,Karnataka,KA,South,2023-07-31,37,Prepaid,155,56,229.41,215.13,221.81,3,64.4,151,2,True,53.68,43.27,649,21,Motorola,True,True,8.5,0.18,19.9,0,0,0.0,None,1,False,10,43.0,False,True,False,False,False,False,,
JIO10034576,Tamil Nadu,TN,South,2024-06-30,26,Postpaid,599,30,185.63,172.2,186.79,6,19.7,15,0,True,17.96,15.58,423,10,Xiaomi,False,False,14.1,0.58,22.8,4,1,9.6,None,1,False,6,55.5,False,False,False,False,False,False,,
JIO10058061,Rajasthan,RJ,North,2024-11-29,21,Prepaid,209,56,120.2,120.2,111.65,3,58.9,11,0,False,18.81,18.21,250,9,Tecno,False,False,12.2,1.98,7.3,2,0,2.8,None,1,False,2,10.7,False,False,False,True,False,False,,
JIO10040194,Gujarat,GJ,West,2022-07-31,49,Prepaid,579,28,198.82,176.0,199.1,7,32.7,4,1,False,13.03,12.38,301,12,JioBharat / JioPhone,False,False,11.4,0.52,35.8,0,0,0.0,None,2,False,6,12.9,False,False,False,False,False,False,,
JIO10053173,Mumbai,MU,West,2025-05-31,15,Prepaid,1559,56,182.27,203.54,186.32,4,67.0,35,1,False,29.81,34.99,206,8,Motorola,False,False,12.4,0.74,24.5,0,0,0.0,None,1,False,3,28.4,False,False,False,False,False,False,,
JIO10044757,Haryana,HR,North,2025-07-31,13,Prepaid,209,28,268.8,276.56,240.53,8,24.1,16,0,False,157.53,195.86,105,11,Motorola,True,True,13.2,0.96,26.2,2,0,2.2,None,2,True,10,8.3,False,False,False,False,False,False,,
JIO10027536,Uttar Pradesh East,UPE,North,2023-07-31,37,Prepaid,209,28,164.97,149.71,170.15,7,14.8,8,0,False,134.85,176.89,161,5,Xiaomi,True,True,13.9,0.95,30.8,0,0,0.0,None,1,False,2,14.7,False,True,False,False,False,False,,
JIO10048218,Haryana,HR,North,2024-04-30,28,Prepaid,209,84,303.88,317.18,351.11,2,121.4,75,0,False,29.85,34.35,961,15,Xiaomi,True,False,9.5,1.02,16.8,0,0,0.0,JioAirFiber,2,False,10,24.7,False,False,False,False,False,False,,
JIO10016904,West Bengal,WB,East,2023-12-30,32,Prepaid,299,56,261.97,262.06,247.66,3,69.7,26,1,False,26.01,28.06,578,15,POCO,True,False,18.3,0.97,15.3,2,0,5.2,None,1,True,9,38.1,False,False,False,False,False,False,,
JIO10041436,Punjab,PB,North,2025-10-30,10,Prepaid,239,56,236.84,204.95,229.91,3,61.3,54,0,False,59.68,68.0,371,15,Samsung,True,False,18.5,1.44,41.7,1,0,3.8,None,1,False,6,68.3,False,False,False,True,True,True,Relocation,2026-10-28
JIO10040066,North East,NE,East,2023-07-01,38,Prepaid,399,28,211.53,193.63,278.59,8,27.6,30,0,True,78.73,96.61,218,14,realme,True,True,10.9,0.54,58.3,1,0,3.9,JioFiber,2,False,8,39.1,True,False,False,False,False,False,,
JIO10048029,Karnataka,KA,South,2023-07-31,37,Prepaid,579,28,217.83,245.16,178.49,8,26.6,5,0,False,68.55,71.31,486,12,vivo,True,True,12.6,0.45,51.2,0,0,0.0,None,1,True,5,8.1,False,False,False,False,False,False,,
JIO10042129,Andhra Pradesh & Telangana,AP,South,2025-06-30,14,Prepaid,399,28,200.91,209.32,141.92,6,35.7,20,0,False,34.59,31.48,544,14,Samsung,False,False,8.5,0.37,42.9,0,0,0.0,None,1,False,4,3.9,False,True,True,False,False,False,,
JIO10035992,Rajasthan,RJ,North,2025-05-31,15,Prepaid,299,84,267.58,259.12,306.57,2,89.7,65,0,False,43.17,52.04,44,16,Motorola,False,False,7.3,0.38,21.4,2,0,7.0,None,1,True,7,22.9,False,False,False,False,False,False,,
JIO10023472,Uttar Pradesh East,UPE,North,2025-01-29,19,Prepaid,349,28,155.68,147.84,178.15,7,25.0,20,0,False,38.25,30.92,518,16,Xiaomi,False,False,10.8,0.95,35.3,0,0,0.0,None,3,True,2,23.3,False,False,False,False,False,False,,
JIO10018465,Andhra Pradesh & Telangana,AP,South,2022-01-29,55,Prepaid,799,365,245.86,267.86,262.92,0,350.4,210,0,False,25.93,26.98,251,9,Apple,True,True,9.4,0.98,42.2,2,1,3.2,None,1,True,5,13.4,False,False,False,False,False,False,,
JIO10018947,Bihar & Jharkhand,BH,East,2022-07-01,50,Postpaid,449,30,209.17,191.03,205.94,6,46.6,48,0,True,48.09,56.87,79,8,Motorola,False,False,18.8,0.13,29.2,1,0,3.4,None,2,False,10,17.8,True,False,False,False,False,False,,
JIO10035765,Karnataka,KA,South,2023-11-30,33,Prepaid,155,28,258.08,247.51,231.1,7,33.5,27,1,False,191.57,173.52,483,13,Xiaomi,True,True,17.2,0.72,14.1,1,0,7.2,JioFiber,2,False,6,20.2,False,False,False,False,False,False,,
JIO10052049,Uttar Pradesh East,UPE,North,2024-06-30,26,Prepaid,349,28,168.22,148.07,186.96,5,32.3,6,0,False,12.74,13.94,681,6,JioBharat / JioPhone,False,False,13.9,1.36,34.0,1,1,2.4,None,2,False,3,34.9,False,False,False,False,False,False,,
JIO10052596,North East,NE,East,2023-08-31,36,Prepaid,209,28,88.56,88.79,91.1,6,32.9,9,0,False,11.63,13.73,506,10,Motorola,False,False,13.9,0.27,30.5,0,0,0.0,None,1,True,1,14.7,False,False,False,False,False,False,,
JIO10048911,Andhra Pradesh & Telangana,AP,South,2024-06-30,26,Prepaid,299,28,245.7,235.52,237.76,10,26.0,4,0,True,85.15,83.37,269,14,POCO,True,False,11.6,0.7,43.0,0,0,0.0,None,1,False,17,38.2,False,False,False,True,False,False,,
JIO10012208,Mumbai,MU,West,2024-04-30,28,Prepaid,449,56,100.45,107.62,123.36,3,57.7,13,0,False,29.38,33.18,506,10,POCO,False,False,18.0,0.36,30.0,1,0,3.0,None,2,False,0,18.3,False,True,False,False,False,False,,
JIO10039649,Rajasthan,RJ,North,2018-03-31,101,Prepaid,155,365,89.08,88.51,91.86,1,400.0,198,1,False,50.84,52.11,58,10,Samsung,False,False,17.2,0.46,39.2,1,0,7.2,None,3,True,2,35.4,False,True,True,True,False,True,Competitor offer / price,2026-11-12
JIO10018443,Karnataka,KA,South,2021-10-30,58,Prepaid,155,56,208.2,217.65,191.16,4,69.9,10,0,False,23.87,20.38,107,13,realme,True,True,10.4,0.4,28.5,0,0,0.0,None,2,False,6,25.7,False,False,False,False,False,False,,
JIO10010413,Kolkata,KO,East,2024-10-30,22,Prepaid,209,84,389.54,406.43,441.86,1,102.4,86,0,False,31.6,22.9,924,8,Xiaomi,False,False,12.4,0.63,9.5,2,0,0.2,None,1,False,8,21.5,False,False,False,False,False,False,,
JIO10008456,Maharashtra & Goa,MH,West,2019-10-30,82,Prepaid,155,84,96.53,97.84,99.08,2,76.6,51,0,True,14.75,17.53,130,15,Apple,False,False,11.2,0.19,18.1,0,0,0.0,None,2,False,5,41.7,False,True,True,False,False,False,,
JIO10042794,Odisha,OR,East,2025-05-31,15,Prepaid,799,84,264.53,250.63,278.63,2,84.8,48,0,True,14.95,11.0,324,6,POCO,False,False,9.2,0.23,68.7,1,0,2.0,None,2,False,9,6.7,False,False,False,False,False,False,,
JIO10049758,Assam,AS,East,2024-02-29,30,Prepaid,155,28,244.2,230.01,230.26,6,26.3,7,0,False,29.66,33.33,449,9,Samsung,True,True,11.8,1.36,28.1,0,0,0.0,JioAirFiber,3,False,7,9.4,False,False,False,False,False,False,,
JIO10025689,Maharashtra & Goa,MH,West,2024-09-29,23,Prepaid,239,84,159.62,136.02,151.93,2,106.4,6,1,True,61.04,71.92,467,14,Samsung,True,True,11.6,0.19,42.5,0,0,0.0,None,1,False,10,31.2,False,False,False,False,False,False,,
JIO10023430,Rajasthan,RJ,North,2023-05-31,39,Prepaid,299,56,128.88,126.47,126.59,2,69.7,19,1,False,34.99,26.4,212,5,Xiaomi,True,True,11.0,0.16,32.5,0,0,0.0,JioFiber,2,True,2,60.2,False,False,False,False,False,False,,
JIO10018703,Madhya Pradesh & Chhattisgarh,MP,North,2025-09-30,11,Postpaid,599,30,304.63,255.99,326.24,6,36.1,38,1,True,15.33,14.31,1139,10,JioBharat / JioPhone,False,False,13.5,1.8,14.7,0,0,0.0,None,1,False,11,10.8,False,False,False,False,False,False,,
JIO10045166,Maharashtra & Goa,MH,West,2025-09-30,11,Prepaid,1559,28,168.16,152.22,145.43,8,39.0,20,1,False,9.22,10.61,131,14,JioBharat / JioPhone,False,False,15.0,0.1,33.4,1,0,4.2,None,1,False,2,8.6,False,False,False,True,False,False,,
JIO10052909,Uttar Pradesh East,UPE,North,2023-12-30,32,Prepaid,299,28,149.9,146.75,132.31,7,29.5,2,0,True,27.64,24.82,658,5,Xiaomi,False,False,11.8,1.2,16.1,0,0,0.0,None,3,True,12,35.1,False,False,False,False,False,False,,
JIO10055357,Gujarat,GJ,West,2016-09-29,119,Prepaid,1559,28,345.16,354.19,370.68,6,23.6,29,0,False,51.91,54.51,272,8,Motorola,False,False,19.0,1.15,17.7,1,1,9.7,None,1,False,9,30.3,False,False,False,False,False,False,,
JIO10062359,Andhra Pradesh & Telangana,AP,South,2023-01-30,43,Prepaid,299,28,148.89,131.34,144.01,5,24.7,24,0,False,49.99,56.3,214,16,OPPO,True,True,4.5,0.76,29.4,0,0,0.0,JioFiber,2,False,2,46.1,False,False,False,False,False,False,,
JIO10043977,Gujarat,GJ,West,2020-12-30,68,Prepaid,799,28,219.85,220.36,211.63,6,27.9,5,0,False,35.33,31.44,616,9,Apple,True,True,10.0,0.67,23.5,1,1,1.0,None,2,False,6,26.3,False,False,False,False,False,False,,
JIO10015575,Tamil Nadu,TN,South,2021-11-29,57,Prepaid,189,56,128.59,140.99,119.68,3,68.1,44,0,False,58.87,61.48,49,16,JioBharat / JioPhone,False,False,21.0,0.85,33.9,0,0,0.0,None,2,True,1,10.8,False,False,False,False,False,False,,
JIO10061917,Haryana,HR,North,2023-08-31,36,Prepaid,349,84,223.15,219.3,175.85,3,97.5,102,1,False,22.62,20.62,225,5,OnePlus,False,False,14.7,0.72,27.5,0,0,0.0,None,3,True,7,7.9,False,False,False,False,False,False,,
JIO10012577,Uttar Pradesh West,UPW,North,2024-08-30,24,Prepaid,449,84,238.88,226.04,296.81,3,83.5,63,1,False,41.89,48.64,371,7,JioBharat / JioPhone,False,False,7.9,0.64,24.0,0,0,0.0,None,2,True,6,56.3,False,False,False,False,False,False,,
JIO10049493,Bihar & Jharkhand,BH,East,2023-05-01,40,Prepaid,209,28,258.07,266.16,272.35,5,47.2,83,1,True,20.8,24.84,189,13,realme,True,False,10.9,1.4,40.4,3,1,1.0,None,1,False,7,31.4,False,False,False,False,False,False,,
JIO10014473,Uttar Pradesh East,UPE,North,2025-12-30,8,Prepaid,209,28,162.32,185.01,151.73,4,33.7,7,2,False,39.76,35.09,437,17,Xiaomi,False,False,14.9,0.17,54.3,0,0,0.0,None,1,False,5,14.1,False,False,False,False,False,False,,
JIO10059336,Haryana,HR,North,2024-10-30,22,Prepaid,399,28,124.32,128.36,119.03,6,34.2,50,0,False,70.92,70.7,445,19,POCO,True,True,9.4,0.63,34.9,0,0,0.0,None,1,False,3,42.4,False,True,False,False,False,False,,
JIO10031230,Karnataka,KA,South,2025-03-31,17,Prepaid,299,28,170.21,196.09,177.6,8,29.8,10,0,True,67.26,85.62,369,9,Xiaomi,True,True,8.9,0.14,49.5,2,1,3.5,None,1,True,12,51.2,False,True,False,False,False,False,,
JIO10034151,Karnataka,KA,South,2023-01-30,43,Prepaid,399,28,316.01,320.16,372.62,4,26.6,6,0,True,126.3,127.37,402,19,Apple,True,True,10.0,0.11,1.5,0,0,0.0,None,1,False,17,18.1,False,False,False,False,False,False,,
JIO10044095,Tamil Nadu,TN,South,2024-07-31,25,Prepaid,299,28,121.18,137.87,113.16,6,28.2,36,0,True,17.7,18.09,76,8,Xiaomi,False,False,19.2,0.36,46.8,0,0,0.0,None,1,False,12,44.4,False,False,False,False,False,False,,
JIO10033826,Odisha,OR,East,2023-08-31,36,Postpaid,449,30,440.42,452.01,458.9,6,35.4,31,0,False,210.14,213.43,209,16,Motorola,True,True,16.3,1.94,28.7,0,0,0.0,None,1,True,7,10.2,False,False,False,False,False,False,,
JIO10052453,West Bengal,WB,East,2026-01-29,7,Prepaid,155,56,184.49,189.0,200.08,2,53.1,36,2,False,23.68,18.25,221,10,realme,True,True,10.4,0.52,16.5,0,0,0.0,None,1,False,5,53.3,False,True,False,False,False,False,,
JIO10048720,Maharashtra & Goa,MH,West,2026-05-31,3,Prepaid,799,28,218.3,208.55,229.87,6,25.7,1,0,True,112.01,105.72,788,10,Apple,True,True,18.0,0.91,12.5,0,0,0.0,None,2,False,7,10.2,False,True,True,False,False,False,,
JIO10037144,Rajasthan,RJ,North,2021-10-30,58,Prepaid,155,28,175.18,156.78,177.5,8,40.2,28,0,False,92.07,68.88,456,12,realme,True,True,17.5,0.43,29.4,0,0,0.0,None,2,False,3,54.3,False,True,False,False,False,False,,
JIO10015705,Haryana,HR,North,2024-03-31,29,Prepaid,299,365,75.99,78.0,75.0,1,400.0,210,2,False,12.55,12.61,581,9,Xiaomi,True,True,13.0,0.1,31.7,1,0,2.8,None,1,False,0,33.2,False,False,False,False,False,False,,
JIO10000685,Andhra Pradesh & Telangana,AP,South,2025-05-31,15,Prepaid,299,84,251.94,257.29,283.52,2,101.3,38,0,False,131.26,142.19,798,14,vivo,True,True,6.7,0.2,37.9,1,0,2.5,None,1,False,6,26.8,False,False,False,False,False,False,,
JIO10021702,Madhya Pradesh & Chhattisgarh,MP,North,2021-08-30,60,Prepaid,155,28,113.99,105.86,102.38,7,34.1,20,0,False,30.56,33.34,235,12,JioBharat / JioPhone,False,False,7.5,2.5,17.0,1,0,1.2,None,2,False,1,41.6,False,False,False,False,False,False,,
JIO10064687,Uttar Pradesh East,UPE,North,2023-12-30,32,Prepaid,349,365,328.24,280.96,298.68,1,400.0,210,1,False,15.5,15.27,76,12,vivo,True,False,14.3,0.96,27.0,1,0,9.6,None,1,False,8,34.6,False,False,False,False,False,False,,
JIO10054919,Karnataka,KA,South,2021-05-31,63,Prepaid,299,28,276.54,316.13,257.84,6,28.3,13,1,False,15.51,12.7,220,12,OPPO,True,False,13.5,0.32,20.4,0,0,0.0,None,1,True,3,13.7,False,False,False,False,False,False,,
JIO10059523,Bihar & Jharkhand,BH,East,2020-05-31,75,Prepaid,155,28,104.68,102.21,128.85,8,31.0,9,0,False,17.15,16.34,438,9,OPPO,True,False,14.4,0.92,35.0,0,0,0.0,None,2,False,0,28.9,False,False,False,False,False,False,,
JIO10061022,Tamil Nadu,TN,South,2022-09-30,47,Postpaid,799,30,337.04,375.94,390.14,6,22.7,1,1,False,48.92,48.09,641,15,Samsung,True,True,8.4,0.05,13.1,1,0,4.3,None,1,False,0,40.0,False,False,False,False,False,False,,
JIO10039921,Madhya Pradesh & Chhattisgarh,MP,North,2022-07-31,49,Prepaid,449,28,109.53,96.31,131.35,9,38.8,28,0,False,9.73,9.1,455,9,JioBharat / JioPhone,False,False,13.1,0.11,92.5,1,0,1.9,None,1,True,1,39.0,True,False,False,False,False,True,Competitor offer / price,2026-09-12
JIO10051923,Uttar Pradesh West,UPW,North,2019-11-30,81,Prepaid,209,28,89.47,102.71,75.0,5,24.2,9,1,False,32.95,44.79,694,9,vivo,True,True,12.8,0.35,16.0,1,0,0.9,None,2,True,0,4.4,False,False,False,False,False,False,,
JIO10039815,Haryana,HR,North,2025-09-30,11,Prepaid,155,28,102.7,92.01,78.32,5,31.7,34,0,False,19.94,17.09,82,12,vivo,True,False,18.5,1.29,29.4,1,0,4.9,None,1,False,1,22.5,False,False,False,False,False,False,,
JIO10063736,Kolkata,KO,East,2024-08-30,24,Prepaid,449,28,358.14,361.78,395.16,5,32.5,28,0,True,49.65,46.63,246,18,Xiaomi,True,True,14.4,0.13,28.5,0,0,0.0,None,1,False,16,8.7,False,False,False,False,False,False,,
JIO10011133,Maharashtra & Goa,MH,West,2023-07-01,38,Prepaid,399,28,141.34,157.06,147.12,4,33.2,17,0,True,29.52,24.79,205,12,realme,False,False,13.4,0.6,24.3,0,0,0.0,None,1,False,8,24.7,False,False,False,False,False,False,,
JIO10031040,Delhi NCR,DL,North,2022-05-31,51,Postpaid,449,30,515.64,540.98,502.99,6,37.5,15,0,False,100.82,93.36,635,12,Xiaomi,True,True,12.9,0.95,2.6,0,0,0.0,None,2,False,9,18.2,False,False,False,False,False,False,,
JIO10056043,Uttar Pradesh West,UPW,North,2024-07-31,25,Prepaid,399,28,185.9,202.3,176.13,8,28.5,42,0,False,49.76,46.12,678,8,Tecno,True,True,10.6,0.29,30.9,0,0,0.0,None,1,False,3,13.1,False,True,False,False,False,False,,
JIO10002309,Punjab,PB,North,2020-10-30,70,Prepaid,449,28,162.27,169.2,166.71,8,20.6,27,1,False,33.77,34.63,598,13,Samsung,False,False,6.6,0.8,63.4,0,0,0.0,None,1,False,8,33.7,False,False,False,False,False,False,,
JIO10020680,Tamil Nadu,TN,South,2025-10-30,10,Prepaid,189,56,230.59,235.39,173.56,2,64.1,23,1,False,27.69,22.25,445,14,vivo,True,False,12.2,0.45,44.9,0,0,0.0,None,1,False,4,28.4,False,True,False,False,False,False,,
JIO10040983,Haryana,HR,North,2025-09-30,11,Prepaid,349,28,421.21,417.77,431.22,6,28.0,17,1,False,47.15,50.13,309,11,JioBharat / JioPhone,False,False,21.5,0.37,44.5,0,0,0.0,None,1,False,9,24.7,True,False,False,False,False,False,,
JIO10060480,West Bengal,WB,East,2026-03-31,5,Prepaid,239,365,75.99,86.55,82.71,1,335.2,153,3,False,48.06,45.41,361,20,POCO,False,False,22.9,0.6,27.1,0,0,0.0,None,1,False,0,26.9,False,True,True,True,False,True,Dormant / non-recharge,2026-09-18
JIO10046806,Maharashtra & Goa,MH,West,2022-09-30,47,Prepaid,999,84,173.19,169.87,154.78,2,74.3,6,1,False,18.7,27.51,238,14,realme,False,False,15.3,0.81,26.6,0,0,0.0,None,1,False,4,35.3,False,False,False,True,False,False,,
